"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"732","Psychiatric Technicians",3,3.88,3,3.5,3.62,1,1.12,1,3.12,3.38,3.12,1.5,1.75,3,2,3.88,3,1.88,2,1.62,3.12,1.5,2,3.75,1,1.88,3.5,4.12,4,3,2.88,1.75,3,1.88,3.25,"Importance"
"733","Psychiatrists",4,4.62,3.88,3.88,4.25,1,1,1,3.5,4.12,3.75,1.62,1.62,2.75,2.5,4,3.25,1.25,1.62,3.25,3.5,1.5,1.38,4.12,1,3.88,3.88,4.5,4.25,3.25,3.25,1.5,3.25,1,4.12,"Importance"
"734","Psychology Teachers, Postsecondary",3.88,4,3.62,3,4,1,1,1,4,3.75,4,1.75,1.88,2.88,2.75,3.5,2.62,1,1.25,2.62,2.75,1.75,1.5,4,1,3.38,3,3.75,4.25,3.12,3.12,1.5,3.12,1,4,"Importance"
"735","Public Address System and Other Announcers",2.88,3.62,2.88,3.25,3.12,1.75,1.38,1,2.12,2.75,1.75,1.38,1.62,2,1.88,3.12,2.62,1.75,2.12,1.62,2.62,1.12,1.75,3.38,1.5,1,3.25,3.25,4.5,2,1.88,1.25,2.88,1.62,2.5,"Importance"
"736","Public Relations and Fundraising Managers",3.25,4.25,3.62,3.75,3.75,1,1,1,3,3.62,2.75,3.12,2.62,3.38,2.75,3.5,3.38,1.12,1.75,2.62,3.75,1.62,1.88,4.12,1,1.5,3.38,4.12,4.38,3.5,3.5,1.5,3.62,1,4.12,"Importance"
"737","Public Relations Specialists",3.25,4.12,3.5,4,3.88,1,1,1,3,3.5,2.62,2,2.12,2.75,2.12,3.12,3.38,1,1.75,2.62,3.62,1.38,1.25,3.88,1,1.38,3.25,4,4.12,3.12,3.12,2,4,1,4,"Importance"
"738","Pump Operators, Except Wellhead Pumpers",2.62,3.25,2.88,2.88,3.38,2.75,2.25,1.25,2.62,3,2.38,1.88,2.25,2.5,2.38,3.5,2.25,3.38,3.88,1.62,2.38,1.62,3,3.25,2.75,1.88,2.25,2.75,3.12,2.38,2.38,1.75,2.88,2.88,3.25,"Importance"
"739","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,4,3.62,3.12,3.88,1,1.12,1,3,3.75,2.75,3.75,3.12,2.88,3,3.62,3.5,1,1.25,2.62,3.62,1.25,2.38,4,1,1.38,2.75,3.5,4,2.88,3,1.12,3.38,1.25,3.75,"Importance"
"740","Purchasing Managers",3.38,3.88,3.25,4,3.88,1,1,1,3.38,3.62,3.38,3.38,3.12,3.75,2.88,3.62,3.75,1.25,2.12,2.5,3.75,1.62,2.75,3.62,1,1.38,3.5,3.75,3.88,3.25,3.12,1.75,3.75,2,3.62,"Importance"
"741","Quality Control Analysts",3,3.75,3.5,3,3.38,1.88,1.75,1.5,2.62,3.38,2.62,1.75,2.12,2.12,2.88,3.62,2.62,2.62,3.38,2.25,2.5,1.75,4.12,3.75,1.75,2.62,2.62,3,3.38,2.62,2.88,2,3,3,3.38,"Importance"
"742","Quality Control Systems Managers",3.5,3.88,3.75,3.38,3.75,2.38,2,1.12,3.38,4,3.38,2.88,2.62,3.12,3.12,3.88,3.12,2.62,3.12,2.62,3.25,2,4,4.12,2.25,2.38,2.88,3.5,3.75,3.5,3.62,2,3.75,3,3.75,"Importance"
"743","Radiation Therapists",3,3.75,3.12,3.25,3.5,2.75,2.62,1,3,2.88,2.88,2,2.12,2.88,2.75,3.25,2.62,3.12,3.38,2.62,2.62,1.75,2.88,3.75,2.25,2.75,3.25,3.38,3.25,2.62,2.62,1.88,3.12,2.88,3.12,"Importance"
"744","Radio and Television Announcers",3.12,4.12,3.12,3.25,3.75,1,1,1,2.25,3.25,2.12,1.12,1.38,2,1.5,3,2.75,1.88,1.88,1.62,2.88,1.12,1.5,3.75,1,1.12,2.75,3.5,4.75,1.88,1.75,1.12,3.5,1,3.38,"Importance"
"745","Radio Frequency Identification Device Specialists",3.12,3.75,3.38,3.12,3.88,2,2.5,2,3,3.38,2.62,1.88,1.88,2.75,2.62,3.12,2.5,2.25,2.75,2.62,2.88,2.5,2.75,3.62,2,2,2.75,3,3.75,3.25,2.88,2.5,3,2.38,3.25,"Importance"
"746","Radio Mechanics",2.62,3.38,3.25,2.5,3.75,3.38,3,2.5,2.38,3.25,2.5,1.5,1.75,2.25,2,3,2.38,3,3.12,1.75,2.38,1.5,3.62,3,3.62,2.12,2.62,3,3.25,2.5,2.62,1.75,3,3.38,2.75,"Importance"
"747","Radio Operators",2.75,4,3,3.12,3.25,1.88,1.25,1.12,2.5,3.12,2.62,1,1,2.5,1.62,3.38,2.12,2.12,3,1.75,2.38,1.5,2.38,3.5,1.88,2,2.88,3,4.12,2.38,2,1.62,3.25,2.25,3.38,"Importance"
"748","Radio, Cellular, and Tower Equipment Installers and Repairers",2.88,3.38,2.88,3,3.25,3.5,2.88,3.25,2.62,3,2.62,1.5,1.75,2.38,2.62,3.12,2.25,2.5,3,1.25,2.5,2,3,3.12,3.5,1.38,2.38,2.75,3.12,2.75,2.75,1.62,3,3.25,2.88,"Importance"
"749","Radiologic Technicians",3.12,3.75,3,3,3.38,1.38,1.88,1,2.88,3.12,2.62,1.5,1.75,2.75,2,3.25,2.38,3.38,3.25,1.75,2.62,1.5,3.12,3.5,1,2.62,3.12,3.25,3.75,2.12,2,1.75,3,2,3,"Importance"
"750","Radiologic Technologists",3,3.88,3,3.25,3.38,1.62,1.38,1,2.75,3.25,2.75,1.5,1.62,2.62,2.25,3.25,2.25,3.12,3.12,1.38,2.62,1.75,2.5,3.75,1.38,2.12,3.25,3.5,3.88,2.5,2.5,1.75,3,2,3.5,"Importance"
"751","Radiologists",3.62,4.12,3.88,3.12,4.12,1,1.38,1,3.62,4,3.38,2,2.25,3.25,2.75,3.88,2.75,2.5,3.38,1.38,3,1.62,2.75,4.12,1,3.5,3.38,3.75,4,3.12,2.88,1.75,3.5,1.88,4.25,"Importance"
"752","Rail Car Repairers",2.62,3,2.75,2.88,3.25,3.5,2.62,2.38,2.5,2.88,2.5,2,2.12,2.5,2.38,3,2.38,3.38,3.25,1.5,2.38,1,3.25,2.88,3.62,2,2.25,2.62,2.88,2.5,2.5,1.62,2.88,3.62,2.88,"Importance"
"753","Rail Yard Engineers, Dinkey Operators, and Hostlers",2.88,3.5,3.5,3.12,3.38,2.5,2.5,1.5,2.88,3.25,2.75,1.62,1.88,3,2.25,3.5,2.25,3.88,3.88,1.25,2.62,1,3.5,3.25,2.75,1.12,2.88,2.88,3.5,2.5,2.5,1.38,3.25,3.12,2.62,"Importance"
"754","Rail-Track Laying and Maintenance Equipment Operators",2.62,3,2.88,3.12,3.12,3.25,2.62,1.5,2.38,3,2.5,1.75,1.88,2.5,2.25,3.12,1.88,3.75,3.75,1.75,2.12,1,3.12,2.38,3.12,1.25,2.25,2.75,2.88,2.12,2.12,1.75,3,3.25,2.25,"Importance"
"755","Railroad Brake, Signal, and Switch Operators",2.5,3.38,2.88,2.75,3.12,1.88,1.62,1.12,2.62,3,2.5,1.75,2.12,2.62,2.38,3.25,2.12,3.12,3.25,1.38,2.12,1,2.88,3.25,1.88,1.12,2.5,2.75,3,2.12,2.25,1.75,3,2.88,2.75,"Importance"
"756","Railroad Conductors and Yardmasters",3,3.5,3.25,3.75,3.62,1.12,1,1,2.88,3.5,2.75,1.75,1.88,3,2.25,3.75,2.5,3.25,3.38,1.88,3,1.5,3,3.12,1,1.5,2.88,2.88,3.75,3,3,1.38,3.5,2.25,3,"Importance"
"757","Range Managers",3.38,4,3.62,3.62,3.88,1,1,1,3,3.75,2.62,2.12,2.5,3.25,2.75,3.62,3.5,2.75,2.75,3.25,3.25,1.62,2.38,3.75,1,3.38,3.25,3.25,3.88,3.25,3.12,1.88,3.12,1.88,3.25,"Importance"
"758","Real Estate Brokers",3.62,3.88,3,3.12,3.88,1,1,1,2.5,3.38,2.5,2.12,1.75,2.62,2.88,3.12,3.62,1.75,1.75,1.62,3.5,1.5,2.62,3.88,1,1.12,3.25,3.38,4,2.38,2.25,1.38,3,1.62,3.38,"Importance"
"759","Real Estate Sales Agents",3.25,3.88,3,3.75,3.5,1,1,1,2.75,3.25,2.5,2.12,2,2.62,2.88,2.88,3.88,2,2.12,2.12,3.88,1.38,2.25,3.38,1,1.25,3.5,3.75,3.88,2.62,2.75,1.38,3.5,1.75,3.25,"Importance"
"760","Receptionists and Information Clerks",3,3.62,2.5,3.12,3.25,1,1,1,2.75,2.38,2.38,1.75,1.5,2.25,2.12,2.75,2.38,1,1.38,1.12,2.5,1.38,1.75,3.25,1,1,3.5,3.12,3.62,2.38,2.25,1.38,2.88,1.38,3.25,"Importance"
"761","Recreation and Fitness Studies Teachers, Postsecondary",3.38,3.88,3.62,3.12,3.62,1,1,1,4.12,3.5,4,1.75,1.75,2.75,2.12,3.62,2.75,1.12,1.62,2.62,2.88,1.12,1.5,4,1,2.5,3.12,3.25,4.12,3.25,3.12,1.5,3.62,1.5,3.88,"Importance"
"762","Recreation Workers",2.75,4,3.12,3.88,3.25,1,1.25,1,3.5,3.38,2.88,2,2.62,3.25,2.12,3.62,2.88,1.88,2,2.38,2.75,1.38,1.88,3.25,1,1.62,3.88,3.88,3.88,2.75,2.62,1.5,3.5,1.88,3,"Importance"
"763","Recreational Therapists",3.25,4.12,3.5,3.75,3.62,1,1.25,1,3.5,3.38,3,1.62,1.88,3.25,2.25,3.25,3.12,1.88,2.12,2.75,3.12,1.38,1.62,3.62,1,2.75,3.88,3.88,4.12,2.62,2.62,1.75,3.38,1.62,3.5,"Importance"
"764","Recreational Vehicle Service Technicians",3,3.38,3.25,3,3.38,3.12,3.12,1.62,2.75,3,2.38,1.62,1.75,2.12,2,3,2.62,3.12,3.12,1.75,2.62,1.5,3.12,3,3.88,1.62,2.88,2.88,3.38,2.75,2.75,1.88,3,3.5,2.88,"Importance"
"765","Recycling and Reclamation Workers",2.5,3.12,2.38,2.62,2.75,2.38,2.25,1,2.12,2.62,2,1.5,1.75,2.25,1.88,3.12,1.88,3.25,3.12,1.25,2,1,2.75,2.62,2.25,1.12,2.5,2.62,2.75,1.88,1.88,1.5,2.62,2.5,2.38,"Importance"
"766","Recycling Coordinators",3.12,3.62,3,3.62,3.62,1,1.25,1,2.88,3.38,3,2.25,2.25,3.75,2.5,3.5,2.62,2.25,2.38,1.5,3.12,1.38,2.25,3.5,1,1.25,3,3.25,3.88,2.88,2.88,1.75,3.62,1.75,3.12,"Importance"
"767","Refractory Materials Repairers, Except Brickmasons",2.38,3,2.62,2.88,2.88,3,2.62,1.38,2.5,2.75,2.25,1.5,1.62,2.25,2,2.75,2,3,3.25,2,2,1,2.62,2.88,3.12,1,2.38,2.75,2.75,1.88,1.75,1.62,2.88,2.88,2.5,"Importance"
"768","Refrigeration Mechanics and Installers",3,3.25,3.38,3,3.75,4,3.62,3.88,2.88,3.25,2.62,2.12,2.88,3,2.62,3.25,2.5,3.75,4,2.25,2.5,1.38,3.62,3.25,4.12,1.88,2.88,3.25,3.38,2.75,3,1.88,3.12,4,2.75,"Importance"
"769","Refuse and Recyclable Material Collectors",2.5,2.88,2.75,3,3,3,1.88,1,2.25,2.88,1.5,1.25,1.38,2.12,1.38,2.75,2.25,3.12,3,1.38,2.38,1,2.75,2.88,2.5,1,2.75,2.88,3,2,2,1.12,2.88,2.62,2.75,"Importance"
"770","Registered Nurses",3.38,4.12,3.38,3.88,3.88,1,1.75,1,3.25,3.75,3.12,1.88,2.12,2.88,2.88,3.75,2.88,2.38,2.88,2,3,1.62,2.88,3.88,1,2.88,4,4.12,4,2.88,2.88,1.75,3,1.75,3.62,"Importance"
"771","Regulatory Affairs Managers",3.38,3.88,3.5,3.75,3.88,1,1,1,3.5,3.88,2.88,2.12,2,3.5,2.5,3.75,3.5,1.25,1.75,3.38,3.38,1.38,1.12,4.12,1,2.5,3.12,3.38,4,3.62,3.38,1.38,3.75,1,4,"Importance"
"772","Regulatory Affairs Specialists",3.38,3.62,3.62,3.38,3.88,1,1,1,2.88,3.62,2.62,2,1.88,2.88,2.5,3.12,3,1,2,2.62,3,2,2.25,4.12,1,1.62,2.88,3.25,3.75,3.62,3.38,1.75,3.38,1,3.88,"Importance"
"773","Rehabilitation Counselors",3,4.12,3.25,3.62,3.75,1,1,1,3.12,3.38,3,1.5,1.25,2.88,2.12,3.88,3.38,1,1.88,3.12,3.25,1.75,1.12,3.5,1,2.5,3.62,4,3.88,3.38,3.12,1.62,3.5,1,3.62,"Importance"
"774","Reinforcing Iron and Rebar Workers",2.38,2.62,2.75,3.12,3,1.75,2,1.12,2.25,2.88,2.25,1.62,1.75,2.12,2.38,2.88,1.88,2.88,2.75,1.88,1.88,1,2.62,2.62,1.62,1.25,2,2.5,2.62,2.12,1.88,1.75,2.75,2,1.88,"Importance"
"775","Remote Sensing Scientists and Technologists",3.12,3.5,3.75,3.25,3.88,1.25,1.12,1.25,3,3.5,2.75,1.88,2,3,3.5,3.62,2.5,1.5,2.75,3.5,2.75,2.12,1.62,3.88,1.12,3.88,2.62,3.12,3.62,3.5,3.12,2.12,3.25,1.12,3.75,"Importance"
"776","Remote Sensing Technicians",3,3.38,3.25,3.12,3.75,2.12,2.12,1.12,2.62,3.38,2.75,1.88,2.12,2.62,3.5,3.38,2.5,2.38,2.75,2,2.5,2.75,2.88,3.5,1.88,2.62,2.5,2.88,3.5,3.38,2.75,1.88,2.88,2.38,3.25,"Importance"
"777","Reporters and Correspondents",3.5,4.25,3.25,3,3.75,1,1.12,1,2,3.12,2.12,1.38,1.38,2.5,1.5,3.25,3,1.62,1.5,2.25,3.12,1.38,1.88,4.25,1,1,2.38,3.62,4,2,2,1.25,3.38,1.12,4.12,"Importance"
"778","Reservation and Transportation Ticket Agents and Travel Clerks",3,4,3,3.12,3.38,1,1,1,2.88,3.12,2.62,1.38,1.38,2.25,2.62,3,2.88,1.5,2.12,1.75,3.25,1.88,1.88,3.5,1,1,4,3.62,4,2.75,2.38,1.5,3.12,1.38,3.12,"Importance"
"779","Residential Advisors",3.12,4,3.12,3.88,3.88,1,1,1,3,3.25,2.88,2,2.12,3,2,4,3.75,1.62,2,2.25,3.5,1.12,1.62,3.12,1,1.75,3.5,4,4,3,2.88,1.75,3.75,1.62,3,"Importance"
"780","Respiratory Therapists",3.62,3.88,3.38,3.38,3.88,2.25,2.38,1,3.25,3.38,3.12,1.88,2,2.88,2.75,3.88,2.88,2.88,3,2.12,2.88,1.5,3,3.62,2.25,3,3.62,3.62,3.75,2.88,2.88,2.12,3.12,2.38,3.12,"Importance"
"781","Respiratory Therapy Technicians",3.38,3.75,3,3.25,3.62,2.88,2.25,1,3,3.25,3,1.75,1.75,2.88,2.5,3.62,2.5,3.12,3.25,1.75,2.88,1.75,2.88,3.5,2,2.88,3.62,3.5,3.38,3,3,1.75,3,3,3,"Importance"
"782","Retail Loss Prevention Specialists",3.25,3.5,3,3.12,3.75,1,1.12,1,2.88,3.38,2.88,2,1.88,2.88,2.62,3.5,2.75,1.88,2.62,1.38,2.75,1.62,2.38,3.25,1,1.25,2.88,3.38,3.5,3,2.88,1.62,3,2.25,3.12,"Importance"
"783","Retail Salespersons",2.88,3.75,2.88,3.25,3.12,1,1.12,1,2.75,2.75,2.5,1.88,1.75,2.5,2.5,3,3.5,1.75,1.75,1.62,3.75,1.25,1.75,3.38,1,1.12,3.62,3.5,3.75,2,2,1.75,3,1.62,2.88,"Importance"
"784","Riggers",2.5,3.12,3,2.88,3.25,2.5,2.62,1.88,2.25,3,1.25,1.12,1.12,2.5,1.25,3,2.25,3.12,3,1.88,2.25,1,2.75,2.62,2.5,1.62,2.12,2.5,2.88,2.12,2.25,1.12,3.12,2.62,2.25,"Importance"
"785","Risk Management Specialists",3.25,3.88,3.38,3,3.88,1,1.25,1,2.62,3.38,2.62,2.38,2.5,2.75,3.62,3.25,2.62,1.25,2,1.75,3,2.38,1.75,4,1,1.12,2.88,3,3.75,3.75,3.62,1.88,3.12,1.12,3.62,"Importance"
"786","Robotics Engineers",3.5,3.75,3.75,3.5,4,3.5,3.5,2.88,3.12,3.75,3.5,2.5,2.12,3.38,3.75,3.62,2.5,3,3.75,3.12,3,3.12,3.75,4,3.38,3.12,2.38,3.25,3.38,3.62,3.38,3.25,3.5,3.62,3.5,"Importance"
"787","Robotics Technicians",3.25,3.5,3.62,3,3.75,3.75,3.38,3,2.88,3.12,3.12,1.88,2.12,2.5,3.12,3.25,2.62,3.25,3.5,2.25,2.62,2.75,3.5,3.75,3.75,2.88,2.88,3,3.25,3.12,2.88,2.75,3,3.88,3.25,"Importance"
"788","Rock Splitters, Quarry",2.12,3,2.75,2.75,2.75,2.25,2,1,2,2.62,2,1.5,1.5,1.88,1.88,2.88,1.88,3.25,3.12,1.25,2,1,2.25,2.75,2.12,1.12,2.12,2.5,2.62,1.62,1.62,1,2.75,2.38,2.12,"Importance"
"789","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",3,3.12,3.12,3.12,3.38,3,2.75,2.12,2.88,3.12,2.88,1.62,2,3,2.5,3.75,2.12,4,4,1.88,2.12,1.62,3.75,3.12,3,1.38,2.5,2.88,3,2.62,2.62,1.75,3.12,3.25,2.75,"Importance"
"790","Roof Bolters, Mining",2.75,3.25,3,3.25,3.38,2.75,2.5,2,2.62,2.88,2.38,1.5,1.62,2.38,2.12,3.25,2.25,3.75,3.38,1.25,2.25,1,3,2.38,2.75,1.12,2.38,2.75,2.88,2.25,2.12,1.25,2.75,2.75,2.25,"Importance"
"791","Roofers",2.62,3.12,2.88,3.62,3.12,1.88,2,1.75,2.5,2.75,2.12,1.88,2,2.12,2.25,3,2,3,3,1.75,2.25,1,2.38,2.75,1.75,1.25,2.38,2.75,3,2,2,1.75,3,2.12,2,"Importance"
"792","Rotary Drill Operators, Oil and Gas",2.88,3.38,3.12,3.25,3.62,3,2.62,1.12,3.38,3.12,3,1.25,1.62,2.88,2.38,3.5,2.88,3.62,3.62,1.75,2.88,1,3,3.12,3,1.25,2.38,2.88,3.25,2.12,2.12,1.38,2.88,3,3,"Importance"
"793","Rough Carpenters",2.88,3.25,2.88,3.12,3.12,2.25,2.25,1.62,2.75,3.12,2.5,1.62,1.75,2.62,2.62,3.12,2.75,2.75,3,1.25,2.62,1,2.75,3.12,2.25,1,2.88,2.75,3.12,2.25,2.38,1.62,3,2.38,2.38,"Importance"
"794","Roustabouts, Oil and Gas",2.75,2.88,2.62,2.88,3.12,2.75,2.5,1.38,2.25,3,2.25,1.62,1.88,2.5,2,3.25,2,2.88,3,1.12,2.12,1,3,2.12,2.88,1.25,2,2.62,2.62,2,2,1.75,2.62,3,1.88,"Importance"
"795","Sailors and Marine Oilers",2.75,3.25,2.88,3.25,3.25,3.12,2.88,1,2.62,2.88,2.5,1.88,2.25,2.88,2.5,3.5,2.5,3.62,3.88,1.12,2.62,1,3.12,3,3.12,1.75,2.75,3,3,2.25,2.38,1.88,3,3.25,2.62,"Importance"
"796","Sales Agents, Financial Services",3.12,4,3.12,2.88,4,1,1,1,3,3.25,2.88,2.12,1.75,2.5,3,3,3.12,1,1.75,2.25,4.12,1.62,1.38,3.88,1,1.25,3.25,3.75,4,3,2.88,1.5,3,1,3,"Importance"
"797","Sales Agents, Securities and Commodities",3.62,4.12,3.5,3.12,4,1,1,1,2.62,3.88,2.75,2.25,1.75,2.38,3.12,3.12,3.12,1,1.5,2,4,1.75,1.25,4,1,1.5,3.38,3.38,4,3.38,3.12,1.62,3.38,1,3.62,"Importance"
"798","Sales Engineers",3.62,3.88,3.62,3.5,4,1,1.62,1,3.38,3.75,3,2.25,2.38,2.88,3,3,3.75,1.88,2.12,2.62,4.25,2.12,2.25,4,1,2.25,3.62,4,4,3.62,3.62,2.75,3.62,2.12,3.75,"Importance"
"799","Sales Managers",3.62,4.12,3.62,3.88,3.88,1,1,1,3.62,3.75,3.38,2.88,2.62,3.75,3,3.88,3.62,2.12,2.25,3,4,1.75,1.88,3.5,1,1.5,3.88,4.12,4.25,3.5,3.5,1.75,3.62,1,3.75,"Importance"
"800","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.12,4,2.88,3.12,3.62,1,1,1,2.75,3.12,2.38,1.75,1.75,2.25,2.12,3,3.62,1.88,1.62,2,3.88,1.5,1.25,3.38,1,1.25,3.25,3.75,4,2.25,2.12,1.62,2.75,1,2.88,"Importance"
"801","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.5,4.12,3.38,3.62,3.38,1,1.62,1,2.88,3.12,2.75,2.62,2.5,2.62,2.88,3.12,4,2,1.88,2.12,4.25,2,1.88,3.75,1,1.5,3.75,3.88,4.25,2.88,2.12,2,3.12,1,3.38,"Importance"
"802","Sawing Machine Setters, Operators, and Tenders, Wood",2.12,2.75,2.62,2.62,3,2.75,2,1.5,2,2.75,2,1.5,1.75,2,2,3,1.88,3.12,3.12,1.88,1.88,1.12,3,2.38,2.62,1.25,1.88,2.5,2.62,2,2,1.38,2.75,3,1.75,"Importance"
"803","School Psychologists",3.88,4.38,3.88,3.62,4,1,1,1,3.5,3.88,3.62,1.12,1.25,3.12,2.5,4,3.75,1,1.88,1.5,3.62,1.38,1.25,4.25,1,1.62,3.62,4.25,4.12,3.25,3.25,1.62,3.75,1,4.12,"Importance"
"804","Search Marketing Strategists",3.62,3.62,3.75,3.25,3.62,1.12,1.38,1.25,2.88,3.5,2.75,2,1.88,2.62,2.75,3.25,2.88,1.25,2.12,2.25,3.12,2.62,1.75,3.75,1.25,1.38,3.12,3.12,3.75,3.38,3.38,2.5,3.25,1.25,3.5,"Importance"
"805","Secondary School Teachers, Except Special and Career/Technical Education",3.5,3.88,3.38,3.75,3.75,1,1.38,1,4.25,3.62,4.25,1.5,2.25,3.12,3,3.5,3,1.25,1.62,1.88,3.12,1.5,2,3.62,1.25,2.12,3.25,3.62,4.12,3,3.25,1.62,3.62,1,3.62,"Importance"
"806","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.88,3.88,2.75,3.25,3.12,1,1,1,2.38,3,2.38,2.12,2.12,2.75,2.12,3,2.5,1.38,1.5,1.75,2.38,1.5,2.38,3.88,1,1.12,3.5,3,3.88,2.38,2.12,1.38,3.88,1.12,4,"Importance"
"807","Securities and Commodities Traders",3.12,3.75,3.12,2.88,3.75,1,1,1,2.5,3.62,2.38,2.38,1.75,2.62,3.5,3.5,3.5,1.25,1.75,1.5,3.25,1.88,1.5,3.75,1,1.12,3,3.25,3.75,2.75,2.75,1.62,2.88,1,3.25,"Importance"
"808","Security and Fire Alarm Systems Installers",2.88,3.25,3.12,2.88,3.38,2.75,2.25,3.38,2.62,3.12,2.38,1.75,1.88,2.12,2.12,3,2,2.88,3.12,1.88,2.12,1.75,3.12,3.12,3,1.75,2.88,2.88,3.38,2.62,2.62,1.88,3,3,2.88,"Importance"
"809","Security Guards",2.62,3.5,2.5,2.88,3,1,1,1,2.38,2.75,2.38,1,1,2.25,1.25,2.88,2.5,2.12,2.5,1.75,2.75,1.12,2.25,2.88,1.12,1.25,2.88,2.88,3.12,1.25,2,1,2.62,1.88,2.62,"Importance"
"810","Security Management Specialists",3.38,3.75,3.5,3.38,3.88,2.12,1.88,2.5,3.12,3.62,2.62,2.38,2.62,2.88,2.5,3.25,2.88,2.25,2.62,3,3,2.25,2.5,3.62,1.88,1.5,3.38,3.25,3.75,3.25,3.25,2.5,3.25,2.38,3.5,"Importance"
"811","Security Managers",3.25,3.88,3.62,3.38,4,1.12,1.38,1.12,3.25,3.75,2.88,2.75,2.62,3.38,2.38,3.62,3.12,2.12,2.5,2.12,3.12,1.75,2.75,4,1,1.62,3.12,3.62,4,3.5,3.25,1.75,3.38,1.88,3.75,"Importance"
"812","Segmental Pavers",2.62,3.5,2.88,3.25,3.25,2.25,2,1.25,2.88,3.12,2.38,1.62,1.62,2.88,2,2.88,2.62,3.12,3,2.25,3,1,2.5,2.75,2.25,1.12,3,3.12,3.5,2.25,2.25,1.5,3,2.38,2.62,"Importance"
"813","Self-Enrichment Education Teachers",3,3.38,2.75,3.12,3.12,1,1.12,1,3.38,3,3.25,1.38,1.5,2.75,2,3.25,2.38,1.75,1.88,2.25,2.62,1.62,1.88,3.25,1,1.62,3,3.38,3.62,2.38,2.25,1.75,2.88,1.75,2.88,"Importance"
"814","Semiconductor Processors",2.5,3.25,2.75,2.88,3.38,2.88,2.38,1.38,2.25,2.88,2.25,1.5,1.62,2.25,1.88,3.25,2,2.88,3.62,2.12,2.25,1.62,3.25,3.38,2.5,1.88,2.12,2.88,2.88,2.25,2,1.75,2.75,2.88,2.75,"Importance"
"815","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2.88,3,2.88,2.88,3.12,2.88,2.38,2,2.62,3,2.75,1.88,2,2.75,2.62,3.12,2.12,3.12,3.75,1.75,2.5,1.75,3.12,3,2.88,2.5,2.38,2.75,2.88,2.62,2,1.88,3,2.88,2.88,"Importance"
"816","Septic Tank Servicers and Sewer Pipe Cleaners",2.88,3.25,3.25,3.12,3.38,3.12,2.88,1.88,2.75,3.25,2.5,2,2.25,2.62,2.5,3.25,2.5,3.75,3.88,1.38,2.75,1,3.25,2.88,3,1.25,2.75,3,3.12,2.38,2.25,1.88,3,3.38,2.88,"Importance"
"817","Service Unit Operators, Oil, Gas, and Mining",3,3.38,3.12,2.88,3.75,3.12,2.62,2.12,2.88,3.25,2.88,1.88,2.12,3,2.75,3.62,2.75,3.75,4,1.5,2.75,1.75,3,3,3,1.38,2.75,3,3,2.62,2.88,1.38,2.75,3.38,3,"Importance"
"818","Set and Exhibit Designers",3.12,3.88,3.25,3.75,3.88,1.62,2,1.5,3,3.38,2.88,3,3,3,3.12,3.25,2.88,1.88,2.38,3.62,3,1.62,2.75,3.88,1.62,1.62,3,3.25,3.5,3,2.88,2,3.62,2,3.12,"Importance"
"819","Sewers, Hand",2.5,2.62,2.75,2.25,2.75,1,1.25,1,2.25,3,2.25,1.88,2.38,2.38,2.38,2.62,2.12,2.5,2.62,2,2.25,1,2.5,2.5,1,1,2.38,2.5,2.62,2,1.88,1.62,2.88,2,2.38,"Importance"
"820","Sewing Machine Operators",2.38,2.88,2.62,2.62,3,1.62,1.25,1.12,2,2.75,2.25,1.75,1.88,2,2.38,3.12,2,2.62,2.88,1.75,2.25,1,2.5,2.5,1.5,1.12,2.12,2.75,2.38,2.12,1.88,1.12,3,2.25,2.38,"Importance"
"821","Shampooers",2.25,3.12,2.12,2.75,2.5,1,1.38,1,2.12,2.5,2,1.38,1.38,2,1.62,2.75,2.25,1.25,2.12,1.12,2.38,1,1.5,2.5,1,1,3,2.75,3.25,1.5,1.5,1.38,2.5,1.38,2.38,"Importance"
"822","Sheet Metal Workers",2.75,2.88,2.88,3,3.12,2.75,2.38,2.5,2.75,3,2.25,1.75,1.88,2.88,3,3,2,2.88,2.75,2,2.12,1.25,2.75,3,2.75,1.75,2.25,2.62,3,2.25,2,2,3,2.88,2.38,"Importance"
"823","Sheriffs and Deputy Sheriffs",3.5,4,3.38,3.62,4,1,1.12,1,3,3.88,2.75,1.5,2,3.25,2,3.38,3.88,2.88,2.88,2,3.75,1.25,1.75,3.75,1,1.75,3.62,4,4.12,3,2.88,1.25,3.62,1.62,3.38,"Importance"
