"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"716","Preschool Teachers, Except Special Education",3,3.25,3.12,3.5,3.25,0,0.62,0,2.75,3.12,3.88,0.12,1.38,2.62,1.75,3.62,2.62,0.12,1.12,1.62,2.75,0,1.75,3.38,0,1.25,3.25,3.5,3.25,2,2.38,0.62,3.25,0.62,3,"Level"
"717","Pressers, Textile, Garment, and Related Materials",1.25,2,2.12,1.88,2,0.88,1.12,0.5,0,2.25,0.12,0,0.12,0.12,0.38,2.25,1.5,2.38,2.38,1,1.62,0,2.12,1.75,0.12,0.5,1.38,2.12,1.75,0,1,0.25,2.38,1.75,1.5,"Level"
"718","Preventive Medicine Physicians",4.5,4.38,4.75,4.38,4.75,0,0.12,0,4.38,4.5,4.12,2.12,2.25,4.12,3.25,4.5,3.5,1,1.38,2.75,3.62,1,2.25,5.38,0,4.25,4.62,4.62,4.5,3.62,4.12,1,4.38,0,4.62,"Level"
"719","Print Binding and Finishing Workers",2.38,2.88,2.88,2.75,3,3.12,2.25,1.5,2.75,2.75,2.88,0.75,0.75,2.5,2.12,3,1.88,3.12,3.12,0.5,2.25,0.88,2.88,2.88,2.75,0.12,2.25,2.62,2.75,2.12,2.38,1,2.62,2.75,2.62,"Level"
"720","Printing Press Operators",2.88,3,2.88,3,3.38,3,2.62,0.5,2.75,2.75,2.25,1.25,1.62,2.12,2.12,3.12,2.25,3.12,3.5,1.12,2.5,1,3,3.12,2.75,0.5,2.62,2.88,3,2,2,1.38,3,2.88,2.75,"Level"
"721","Private Detectives and Investigators",3.38,4.12,3,2.88,4.12,0,0.38,0,2.25,3.38,2.12,1.12,1,2,2.12,3.5,2.88,1.38,0.88,1.5,3,1,1.25,4,0,0.62,2.88,3.5,3.88,2.88,2.88,0.62,3,0.38,3.62,"Level"
"722","Probation Officers and Correctional Treatment Specialists",3.12,4.12,3.12,3.5,4,0,0,0,3,3.62,2.5,0,0,2.38,1.12,4.12,3.38,1.25,1.12,2,3.88,0.5,1,4.12,0,1.38,4,4.5,4,2.62,2.88,0.38,3.12,0,3.75,"Level"
"723","Procurement Clerks",3.5,4,3,2.88,3.62,0,0,0,2.38,3.25,2.25,2.5,2.12,2.62,2.38,3.38,3.62,0.25,0.5,1.25,2.38,0.5,0.88,3.88,0,0,3,3,3.75,2.25,2,0.38,3,0.25,3.25,"Level"
"724","Producers",4,4.25,3.75,4.75,4,0,0,0,2.88,4,2.88,4,3.25,4,2.88,4.5,3.88,0.75,1.38,2.62,4.12,0.88,2.38,4.25,0,0.12,2.75,3.75,4.12,3.25,3.38,0.88,4.38,0.38,4.25,"Level"
"725","Product Safety Engineers",3,3.75,3.12,3.12,3.75,0,0.38,0,2.75,3.25,2.88,0.62,0.62,2.25,2,3.25,2.38,0.25,3,4.38,2.38,0.75,3.25,4,0,4.25,2.5,2.88,3.75,2.75,2.75,1.12,2.75,2.5,3.88,"Level"
"726","Production, Planning, and Expediting Clerks",2.88,3.75,3,3.12,3.88,0,0.12,0,2.5,3,2.5,1.88,2.12,2.38,2.5,3.5,2.88,1,1.75,1.75,3,0.62,2.12,4,0,0.25,2.88,2.88,3.38,2.75,2.12,0.75,3.25,0.88,3.12,"Level"
"727","Program Directors",3.88,4,3.75,4,4,0,0.25,0,3.5,3.88,3.25,3,3.12,3.88,2.38,3.75,3.38,2,2.25,3.12,3.25,0.38,1.25,4,0,0.62,3.12,3.88,4,3.5,3.62,0.62,3.88,0.5,4,"Level"
"728","Proofreaders and Copy Markers",2.25,3,2.25,2.5,3.12,0,0,0,1.5,2.12,1.25,0,0,1.25,0.88,2.5,1.25,0,0.12,0.62,1.38,0.12,1.25,4.12,0,0.38,1.38,2.38,3.12,0.88,0.88,0.12,2.88,0,3.5,"Level"
"729","Property, Real Estate, and Community Association Managers",3.38,3.88,3.12,3.75,4,0.12,0.25,0,3.12,3.5,3,3.12,2.75,3.38,2.75,3.38,3.75,0.62,1,2.5,3.5,0.5,2,4,0,0.5,3.12,3.38,4,2.25,2.38,0.25,3.62,0.75,3.88,"Level"
"730","Prosthodontists",3.25,3.88,3.75,3.12,4,1.12,1.38,0.38,3.25,3.38,3.12,2,2,3.25,2.5,3.5,2.88,2.38,2.5,3.62,3,0.62,3,3.88,1,3.12,3.5,3.75,3.88,2.5,2.5,2.12,3.38,2.25,3.38,"Level"
"731","Psychiatric Aides",3,3.38,3,3.62,3.25,0,0,0,2.88,2.88,3.12,0.75,1,2.25,1.75,3.62,2.88,1.25,2,0.38,3,0,1.75,3.12,0,0.75,3.38,4,3,2,2,0.62,2.75,1,3,"Level"
"732","Psychiatric Technicians",3.25,3.88,3.25,3.38,3.88,0,0.12,0,3.25,3.12,3.5,1,1.25,3.12,1.88,3.88,3.25,1.62,1.75,0.75,3.25,0.5,1.88,4,0,1.5,3.5,4.38,4,2.88,3,0.88,2.88,0.88,3.12,"Level"
"733","Psychiatrists",4.38,5,4.25,3.88,4.62,0,0,0,4,4.25,4,1,0.75,3,2.38,4.12,3.88,0.38,0.75,3.5,4,0.62,0.62,5,0,4.12,4.12,5.38,4.38,3.38,3.62,0.62,3.5,0,4.38,"Level"
"734","Psychology Teachers, Postsecondary",4.5,4.62,3.62,3,4.25,0,0,0,4.38,4,5,0.75,1.12,3.12,3.38,4.12,2.75,0,0.25,2.5,3.12,0.88,0.88,5,0,4.25,3.12,4.62,4.88,3.12,3.38,0.5,3.75,0,5,"Level"
"735","Public Address System and Other Announcers",3.12,3.38,2.75,3.25,3.12,0.75,0.5,0,2.25,2.88,1.5,0.62,1.12,1.88,1.75,3.12,2.5,1.62,2,1.12,2.62,0.12,1.25,3.62,0.75,0,2.88,3.25,3.62,1.88,1.75,0.38,2.88,0.88,3,"Level"
"736","Public Relations and Fundraising Managers",3.88,4.25,4,4.38,4.12,0,0,0,3.62,4.12,3.5,3.75,2.88,4,2.75,4.38,4,0.12,1.12,2.62,4.38,1,1.75,4.25,0,0.75,3.62,4.12,4.5,3.75,3.75,0.75,3.75,0,4.38,"Level"
"737","Public Relations Specialists",3.62,4,3.38,4,4,0,0,0,3,4,3,1.38,1.5,3,1.88,3.25,3.38,0,0.75,2.75,3.62,0.5,0.5,4,0,0.25,3.25,4.12,4.12,3.25,3.25,1.38,4,0,3.88,"Level"
"738","Pump Operators, Except Wellhead Pumpers",2.62,2.88,2.75,3,3.12,2.62,2,0.38,2.62,2.75,2.38,1.12,1.75,2.38,2.5,3.38,1.88,3.25,3.62,1.25,2.38,0.75,3,2.88,2.88,1,2,2.12,2.62,2.38,2.38,1.25,2.62,2.88,2.5,"Level"
"739","Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.12,4,3.88,3.38,4.12,0,0.12,0,3.12,4.12,3.25,3.88,3,3.12,3.12,4,3.88,0,0.25,2.88,3.88,0.25,2.12,4.12,0,0.62,2.88,3.62,4.12,3,3.25,0.12,3.62,0.38,4,"Level"
"740","Purchasing Managers",4.12,4.12,3.12,4.25,4,0,0,0,3.62,3.88,3.75,4.38,3.88,4.25,3.5,4.25,4.38,0.38,1.88,2.62,4.38,1.12,3,4,0,0.62,3.62,4.12,4,3.75,3.75,1.12,3.88,1.5,4,"Level"
"741","Quality Control Analysts",3.25,3.62,3.38,3,3.5,1.25,1.38,0.88,3.12,3,2.75,1.25,1.75,2.62,3.12,3.62,2.62,2.88,3.5,2.25,2.75,1.12,3.75,3.75,1.12,2.62,2.75,3.12,3.5,2.88,2.88,1.62,3.25,2.75,3.38,"Level"
"742","Quality Control Systems Managers",4,4.12,4,3.5,4.12,2.38,1.88,0.25,3.75,4.25,3.5,2.88,2.75,3.25,3.38,4.12,3.25,2.75,3.5,2.75,3.25,1.5,3.88,4,2.25,2.38,3.25,3.75,3.75,3.5,3.5,1.38,3.75,2.88,3.75,"Level"
"743","Radiation Therapists",3,3.88,3,3.12,3.75,2.75,2.62,0,3.38,3.12,3,1,1.38,2.88,2.88,3.38,2.5,3.5,3.38,2.62,2.75,1.12,3.38,3.88,2.12,3,3.25,3.62,3.5,2.75,2.75,1,3.25,2.75,3.25,"Level"
"744","Radio and Television Announcers",3.12,4.12,3.12,3.75,3.88,0,0,0,2,3.38,2.38,0.12,0.75,1.75,0.88,3.38,3.12,1.5,1.5,1,3,0.12,1,3.88,0,0.12,3,3.62,4.5,1.5,1.75,0.12,3.38,0,3.88,"Level"
"745","Radio Frequency Identification Device Specialists",3.5,3.62,3.62,3.38,3.88,2.25,2.62,2.25,3.5,3.38,3.25,1.62,1.88,2.75,3.38,3.75,2.75,2.25,2.88,3,3.38,2.62,3,4,2.25,1.88,2.88,3.12,3.62,3.5,3.5,3.12,2.88,3,3.62,"Level"
"746","Radio Mechanics",2.62,2.88,2.88,1.88,3.12,3.25,2.75,2.5,2.12,3.12,2.12,0.62,1,2,1.88,3,2.12,3.12,3.25,1.62,2,0.62,3.5,3.25,3.62,1.75,2.62,2.62,2.75,2.38,2.25,1,2.75,3.62,2.75,"Level"
"747","Radio Operators",2.75,3.62,2.88,3.12,3.25,1.38,0.5,0.25,3,2.88,2.62,0,0,2.25,0.88,3.38,2.38,1.25,2.75,1.25,2.25,0.75,2.25,3.5,1.62,1.25,2.88,2.88,3.5,2,1.88,1.12,2.88,2.12,3.38,"Level"
"748","Radio, Cellular, and Tower Equipment Installers and Repairers",2.75,2.88,2.62,3.38,3.12,3.38,3,3.5,2.88,2.75,2.38,0.62,1.12,2.62,3,3.12,1.88,2.62,3.12,0.25,2.25,1.25,3.5,3.38,3.62,0.88,2.25,2.25,3,2.62,2.62,1,2.62,3.75,2.75,"Level"
"749","Radiologic Technicians",3.12,3.75,2.88,3.12,3.12,0.38,1.12,0,3,3,2.88,0.62,0.88,2.75,2.25,3.25,2.25,3.25,3.12,1.12,2.62,0.5,2.75,3.88,0,2.62,3.12,3.38,3.62,1.88,2,1,2.88,2,3,"Level"
"750","Radiologic Technologists",3,3.88,2.88,3.38,3.62,0.88,0.5,0,3,3,2.75,1,0.88,2.62,2.25,3.25,2.25,3,3,0.5,2.62,0.75,2.25,3.88,0.5,1.75,3,3.38,3.88,2.25,2.25,0.88,3.12,1.62,3.5,"Level"
"751","Radiologists",4,4.12,4,3.38,4.5,0,0.88,0,4.38,4.25,3.75,2,2.38,3.38,2.88,4.12,3.25,2.62,3.5,0.75,3.25,1,2.75,5,0,3.5,3.5,3.88,4,3.5,3.25,1.38,3.5,1.75,4.38,"Level"
"752","Rail Car Repairers",2.5,2.62,2.5,2.75,3.38,3.38,2.25,2.25,2.25,2.75,2.25,1.25,1.38,2.12,2.25,2.75,2,3.25,3.38,0.88,2,0,3.25,2.62,3.88,1.12,2,2.12,2.38,2,2.12,1.12,2.62,3.62,2.5,"Level"
"753","Rail Yard Engineers, Dinkey Operators, and Hostlers",2.62,2.88,3,3.12,2.88,2.38,2.12,0.62,2.88,2.62,2.5,0.88,1,2.25,2,3.12,1.75,3.62,3.5,0.62,1.88,0,2.88,2.88,2.5,0.25,2.25,2.25,2.62,1.88,2.12,0.62,3,2.62,2.38,"Level"
"754","Rail-Track Laying and Maintenance Equipment Operators",2.38,2.75,2.38,3.12,3,3,2.25,0.5,2.62,2.75,2.25,0.75,1,2.12,2,2.88,1.75,3.12,3.25,0.75,1.88,0,3,2.25,3,0.25,1.88,2,2.25,2.12,2,0.75,2.75,3,2.12,"Level"
"755","Railroad Brake, Signal, and Switch Operators",2.38,2.5,2.62,3,2.75,1.38,1.25,0.12,2.62,2.62,2.5,0.88,1.25,2.25,1.88,3,1.75,3.25,3.25,0.75,2.12,0,2.62,2.75,1.62,0.25,2.25,2.12,2.25,2,1.88,0.88,2.75,2.75,2.5,"Level"
"756","Railroad Conductors and Yardmasters",3,3.12,3.38,3.88,3.62,0.12,0,0,3,3,2.75,0.75,0.88,3.5,2.62,4,2.12,3.12,3.12,1.62,3,0.5,3,3.25,0,0.5,2.62,3,3.12,3,3,0.38,3.5,2.12,2.88,"Level"
"757","Range Managers",3.62,4,4.12,3.75,3.88,0,0,0,3.12,3.75,2.62,1.88,2.38,3.12,3.5,4,3.75,2.75,2.38,3.25,3.38,1,2.75,4.12,0,3.75,3.5,3.25,4,3.75,3.25,1.75,2.88,1.62,3.75,"Level"
"758","Real Estate Brokers",3.75,4,2.88,2.88,3.88,0,0,0,2.25,4,2,2,0.88,2.75,3,3.38,4,1,0.75,1,4,0.5,2.25,4.12,0,0.12,3.25,3.12,4,2.25,2.38,0.38,3,0.62,3.5,"Level"
"759","Real Estate Sales Agents",3.38,3.88,3.12,3.62,3.88,0,0,0,2.88,3.75,2.62,1.62,1.38,2.5,3,2.88,4,1.5,1.62,2.12,4.12,0.75,2.25,4,0,0.38,3.62,3.5,3.88,2.62,3.25,0.5,3.12,1.25,3.5,"Level"
"760","Receptionists and Information Clerks",2.38,3.38,2.75,2.75,3.12,0,0,0,2.38,2.12,2.38,0.88,0.5,2.12,2.12,2.5,2.5,0,0.38,0.25,2.62,0.38,1.25,3.25,0,0,3.12,2.88,3,2.12,2,0.5,2.75,0.38,3.12,"Level"
"761","Recreation and Fitness Studies Teachers, Postsecondary",4,4,3.38,3.25,4,0,0,0,4.12,3.75,4.12,0.88,0.88,2.88,2.5,4,2.88,0.12,0.75,2.88,3,0.12,0.62,4.38,0,2.88,3.12,3.75,4.12,3,3.12,0.62,3.38,0.5,4.38,"Level"
"762","Recreation Workers",3.12,3.75,2.88,3.62,3.62,0,0.5,0,3.38,3.25,3.25,1.75,2.5,3.5,1.88,3.38,2.88,1.38,1.88,2.12,2.88,0.38,1.5,3.38,0,1,3.5,3.62,3.5,2.88,2.75,0.88,3.38,1.38,3.25,"Level"
"763","Recreational Therapists",3.25,4,3.25,3.88,3.5,0,0.5,0,3.5,3.38,3.38,1,1.62,3,2,3.38,3.38,1.62,1.88,2.88,3.62,0.38,1,3.88,0,2.5,4.12,4,3.75,2.5,2.38,1,3.25,1,3.75,"Level"
"764","Recreational Vehicle Service Technicians",3.12,3.25,2.88,3.12,3.5,3.12,2.62,0.88,2.62,2.88,2.38,0.62,0.75,1.75,1.75,3,2.5,2.88,2.88,1,2.62,0.5,3.12,2.88,3.88,0.88,2.88,2.75,3.12,2.38,2.5,1,2.75,3.5,2.75,"Level"
"765","Recycling and Reclamation Workers",2.25,2.88,2.38,2.12,2.75,2.62,1.88,0,2,2.12,2,0.62,1.12,2,1.5,2.75,1.5,2.75,2.75,0.38,1.5,0,2.25,2.88,2.38,0.25,2.25,2.62,2.38,1.5,1.5,0.75,2.5,2.38,2.5,"Level"
"766","Recycling Coordinators",3.12,3.12,2.75,3.25,3.5,0,0.38,0,2.88,3.12,3,2.38,2.38,3.5,2.75,3.5,3,2.62,2.75,1.12,3.25,0.5,2.12,3.5,0,0.25,2.88,3.12,3.38,2.75,2.88,0.88,3.62,1.12,3.12,"Level"
"767","Refractory Materials Repairers, Except Brickmasons",2.12,2.88,2.12,2.75,3,2.75,1.88,0.38,2.38,2.62,2.12,0.62,0.88,1.88,1.75,2.75,1.88,3,3.25,1.25,1.75,0,2.75,2.62,2.75,0,2,2.38,2.75,1.62,1.38,0.75,2.5,2.88,2.25,"Level"
"768","Refrigeration Mechanics and Installers",3.25,2.75,3.38,3.25,3.88,3.75,3.25,3.62,3.38,3,3,1.75,2.62,3.25,2.88,3.62,2.38,3.62,3.5,1.88,2.75,0.5,3.62,2.88,3.88,1.38,2.75,3,3.12,3,3.25,1.5,3.12,3.88,2.88,"Level"
"769","Refuse and Recyclable Material Collectors",2,2.62,2.12,2.75,3,2.12,1.38,0,2,2.12,0.88,0.25,0.38,2,0.5,2.25,2.12,2.88,2.88,0.5,2.12,0,2.25,2.38,2.12,0,2,2.25,2.25,2,1.88,0.12,2.75,2.12,2.38,"Level"
"770","Registered Nurses",3.75,4,3.25,4.12,4,0,1.12,0,3.75,3.75,3.75,1.75,2.25,3.12,3,3.88,2.88,2.38,2.75,1.5,3.12,0.62,3.25,4.25,0,2.62,4,4.38,4,3.12,3.25,0.88,3.38,1.5,3.62,"Level"
"771","Regulatory Affairs Managers",3.62,4,3.38,4,4.12,0,0,0,3.38,3.75,3.25,2,2,3.75,2.5,3.88,3.5,0.38,1.12,3.75,3.25,0.5,0.25,4.12,0,2.38,3,3.62,4,3.5,3.62,0.5,3.62,0,4,"Level"
"772","Regulatory Affairs Specialists",3.75,3.88,3.62,4.12,4.38,0,0,0,3.38,4.38,3.12,1.5,1.38,2.75,3.12,3.62,3.25,0,1.88,2.62,3.88,1.62,2.12,4.5,0,1.12,3,3.12,4.38,4.25,3.88,1,3.12,0,4.25,"Level"
"773","Rehabilitation Counselors",3.38,4.12,3.75,3.75,3.88,0,0,0,3.38,3.62,3.62,1,0.38,3,1.75,4,3.38,0,1.38,3.5,3.75,0.75,0.25,4,0,2.38,4,4.88,4,3.75,3.5,0.75,3.25,0,3.62,"Level"
"774","Reinforcing Iron and Rebar Workers",1.88,2.38,2.38,3.25,2.88,1.12,1.75,0.12,2.12,2.75,2,0.62,0.75,1.88,2.25,2.25,1.62,2.88,2.38,1,1.62,0,2.38,2.12,0.88,0.25,1.62,2.12,2,2,1.75,0.88,2.5,1.75,1.62,"Level"
"775","Remote Sensing Scientists and Technologists",4,3.88,4.25,3.5,4,0.75,0.5,0.62,3.5,3.88,3,1.5,2.12,3.38,4.12,3.88,2.75,1,2.75,3.88,3.12,1.5,1,4.75,0.25,4,3.12,3,3.75,3.75,3.75,2,3.5,0.5,4.5,"Level"
"776","Remote Sensing Technicians",3.5,3.75,3.38,3.38,3.88,2,2.38,0.12,3.25,3.62,3,1.38,1.88,2.5,3.88,3.62,2.5,2.25,3.12,1.88,2.88,3.25,2.88,4.12,1.5,2.75,2.62,2.75,3.62,3.12,3,1.62,2.75,2.38,3.75,"Level"
"777","Reporters and Correspondents",3.75,4,3.38,3.5,4.12,0,0.12,0,2,3.62,2,0.38,0.5,2.5,0.75,3.12,3,0.75,0.62,1.88,3.12,0.38,1.25,4.12,0,0,2.5,4,4.5,2,1.12,0.25,3.38,0.25,4.75,"Level"
"778","Reservation and Transportation Ticket Agents and Travel Clerks",3,4,3,3,3.62,0,0,0,2.75,3,2.62,0.38,0.5,2,2.5,2.88,2.88,0.5,1.62,1,3,0.88,1.12,3.12,0,0,3.75,3.12,3.25,2.25,2.25,0.5,3,0.5,3,"Level"
"779","Residential Advisors",3,4,3,3.38,4,0,0,0,3,3.12,3.12,2,2,3,2,3.5,3.12,1.25,2,2,3.25,0.12,1.12,3.38,0,1,3.12,3.38,3.62,3,2.88,1,3.25,1,3,"Level"
"780","Respiratory Therapists",3.62,3.88,3.12,3,4,2.38,2.25,0,3,3.5,3,1.38,1.62,3,2.88,3.88,2.88,3,3,2.12,2.88,0.5,3,4,2.12,3.5,3.62,3.75,4,2.88,3,1.38,3.12,2.12,3.5,"Level"
"781","Respiratory Therapy Technicians",3.62,3.75,2.88,3.25,3.62,2.75,2.38,0,3.12,3.38,3.25,0.75,0.75,2.88,2.62,3.75,2.38,3,3,1.5,3,0.75,3,3.75,2,3,3.62,3.5,3.75,2.88,2.88,0.88,3,2.62,3,"Level"
"782","Retail Loss Prevention Specialists",3,3.25,2.88,3.12,3.62,0,0.38,0,3,3,2.75,1.62,1.5,2.88,2.75,3.5,2.62,1.38,2.38,0.75,2.88,1,2.25,3.62,0,0.25,2.75,3.12,3.5,2.75,3,0.88,2.75,1.88,3.25,"Level"
"783","Retail Salespersons",2.62,3.62,2.62,3,3.38,0,0.25,0,2.88,2.88,2.38,1.12,1,2.38,1.88,3.12,3.5,1.38,1.38,1.12,3.75,0.25,1.25,3.25,0,0.12,3.75,3,3.25,1.5,2,1.25,2.88,0.75,3,"Level"
"784","Riggers",2.38,2.62,2.62,3,3,2.25,2.5,1.62,2.12,3.12,0.5,0.12,0.12,2.75,0.38,3,1.88,3,2.75,2.12,2.25,0,2.75,2.25,2.38,1.38,1.75,2,2.5,2,1.88,0.12,2.88,2.62,2.25,"Level"
"785","Risk Management Specialists",4,4.12,3.75,3.12,4.38,0,0.5,0,3.25,3.88,2.88,3,2.75,2.75,4.38,3.75,2.88,0.38,1.5,1.5,3.5,2.5,1.25,4.5,0,0.12,2.88,2.88,4,4.25,4,1.38,2.75,0.12,4.25,"Level"
"786","Robotics Engineers",4.5,4.12,4.38,3.88,4.75,4.12,4.5,3.75,3.75,4.38,3.75,3.12,2.12,3.75,5.25,4.38,2.5,3.62,4.25,3.88,3.5,4.12,4.5,5,4,4.12,2.38,3.5,3.88,4.12,4.25,4,3.75,4.38,4,"Level"
"787","Robotics Technicians",3.5,3.75,3.5,3.25,3.75,4,3.25,3,3.25,3.38,3.38,1.62,1.88,2.75,3.62,3.38,2.62,3.5,3.62,2,2.75,2.38,3.75,3.88,3.75,3.25,3,2.88,3.38,3.25,3.25,3,3,4,3.38,"Level"
"788","Rock Splitters, Quarry",2.12,2.62,2.5,2.75,2.62,2,1.75,0,1.75,2.25,2,0.62,0.62,1.62,1.5,2.5,1.62,3,2.88,0.25,2,0,2.5,2.38,1.75,0.12,2.12,2.25,2.62,0.75,0.75,0,2.38,2.25,2.12,"Level"
"789","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2.62,2.75,2.88,3.12,3.25,3.25,2.38,1.62,2.75,2.75,2.88,0.75,1.25,2.75,2.75,3.12,1.88,3.75,4,1.5,2.12,0.88,3.75,2.88,2.88,0.62,2,2.38,2.62,2.5,2.38,1,3.12,3,2.62,"Level"
"790","Roof Bolters, Mining",2.5,2.5,2.12,3.75,2.75,2.75,1.62,1.38,2.62,2.12,2.38,0.75,0.88,2,1.88,2.75,1.75,3.38,3.25,0.25,1.75,0,2.5,1.88,2.5,0.12,1.88,2.12,2.38,1.62,1.5,0.25,2.62,2.5,1.62,"Level"
"791","Roofers",2.38,2.75,2.75,3.88,2.88,1.12,1.12,0.88,2.12,2.5,2,1,1,2,2.12,2.75,1.75,2.88,2.62,1.25,1.88,0,2.12,2.62,1.25,0.25,2.25,2.5,2.5,1.5,1.25,0.75,2.75,1.75,2,"Level"
"792","Rotary Drill Operators, Oil and Gas",3,2.88,3.12,3.38,3.25,3.12,2.25,0.38,3.38,3,3.12,0.38,1.12,3.25,1.88,3.25,2.75,3.62,3.5,1,2.88,0,3.25,3,3.25,0.38,2.25,2.75,2.88,2.12,1.88,0.5,3.38,3,3,"Level"
"793","Rough Carpenters",2.75,2.75,2.75,3.62,3.12,2.12,1.5,1.25,2.88,2.88,2.5,0.88,1.38,2.5,3.12,2.88,2.62,2.75,2.88,0.5,2.62,0,2.62,2.88,2.38,0,2.62,2.5,2.75,2.25,2.25,1,2.88,2.62,2.62,"Level"
"794","Roustabouts, Oil and Gas",2.38,2.5,2.12,3,2.38,2.5,2.12,0.5,2.25,2.38,2,0.75,1.25,1.75,1.75,2.75,1.5,2.62,2.62,0.12,1.5,0,2.62,1.88,2.75,0.25,1.62,2.25,2.12,1.88,1.62,0.88,2.25,2.62,1.62,"Level"
"795","Sailors and Marine Oilers",2.75,3,2.62,3.38,3.12,3,2.5,0,3,2.88,2.5,1.25,1.5,2.75,2.38,3.25,2.5,3.5,3.62,0.38,2.5,0,3,3,3,1,2.62,2.75,3,2.38,2.25,1.38,2.75,3.12,2.88,"Level"
"796","Sales Agents, Financial Services",3.62,4,3.12,3,4,0,0,0,3,3.5,2.88,2.12,1.12,2.38,3.25,3.12,3,0,0.75,2.25,4.25,0.75,0.5,4,0,0.25,3.38,3.5,4,3,3.12,0.5,3,0,3.75,"Level"
"797","Sales Agents, Securities and Commodities",4.12,4.38,3.62,3.25,4.38,0,0,0,3.12,4.12,2.75,2.25,1,2.5,3.38,3.75,3.75,0,0.62,1.88,4.38,1.12,0.5,4.5,0,0.5,3.5,3.62,4.25,3.88,3.5,0.62,3.25,0,4,"Level"
"798","Sales Engineers",3.88,4.25,3.75,3.62,4,0,0.75,0,3.38,4,3.5,2.12,2.62,3,3.75,3.62,4,1.75,2,2.75,4.25,1.88,2.5,4.75,0,2.25,3.88,4,4.12,3.75,3.75,3,3.25,2.38,4,"Level"
"799","Sales Managers",3.88,3.88,4,4.25,4,0,0,0,3.62,4.12,3.88,3.88,3,4.25,3.38,4.75,3.88,2.12,2.62,3.12,4.25,1.25,1.88,3.88,0,0.88,3.75,4.25,4.25,3.75,4,1.12,4.12,0,4,"Level"
"800","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.12,3.88,3,3,4,0,0,0,2.75,3.12,2.38,1,0.88,2.12,2.12,3.12,3.88,1.12,1,1.88,3.88,0.5,0.38,3.75,0,0.25,3.38,3.38,4,2.25,2.5,0.75,2.62,0,3.12,"Level"
"801","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.75,4.12,3.12,3.38,3.75,0,0.62,0,3.12,3.38,3,2.62,2.5,2.5,2.88,3.12,4,1.25,1.62,2.5,4,1,1.12,4.12,0,0.62,3.38,3.75,4,3,2.62,1.62,3,0,3.62,"Level"
"802","Sawing Machine Setters, Operators, and Tenders, Wood",2,2.5,2.25,2.5,2.75,2.62,1.88,0.5,2.12,2.38,1.88,0.5,0.75,1.5,1.5,2.88,1.62,3,3.12,1.38,1.62,0.12,2.88,2.62,2.5,0.25,1.62,2.25,2.12,1.75,1.5,0.38,2.38,2.62,1.38,"Level"
"803","School Psychologists",3.75,4.38,3.75,3.75,4,0,0,0,3.5,4.12,4,0.38,0.5,3,2.25,3.88,3.5,0,1.38,0.75,3.62,0.5,0.5,4.5,0,1.12,3.62,4.88,4.12,3.12,3.38,1,3.88,0,4.38,"Level"
"804","Search Marketing Strategists",3.75,3.75,4,3.5,3.75,0.38,0.5,0.5,3.38,3.62,3,1.75,1.75,2.75,2.75,3.75,3.38,0.38,1.75,2,3.5,2.12,1.5,4,0.38,0.5,3.38,3.38,4,3.5,3.62,2.5,3.5,0.38,4,"Level"
"805","Secondary School Teachers, Except Special and Career/Technical Education",3.62,3.88,3.25,3.5,3.62,0,0.62,0,3.75,3.75,4.38,0.62,1.75,3.12,2.88,3.88,3,0.38,1,1.88,3,0.75,1.75,4,0.38,1.75,3.5,3.75,4,2.88,3.38,1,3.5,0,3.88,"Level"
"806","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3.12,4,2.75,2.88,3.75,0,0,0,2.5,2.88,2.38,2.12,2,2.75,1.5,3.12,2.25,0.5,0.5,0.75,2.25,0.62,1.5,4,0,0.12,3.38,3.12,3.75,2,1.75,0.38,3.38,0.12,3.88,"Level"
"807","Securities and Commodities Traders",3.5,4,3.38,3.12,4.25,0,0,0,2.88,3.88,2.25,2.38,1.38,2.5,4.25,4.12,3.88,0.25,1.12,0.88,3.62,1.38,1.12,4.25,0,0.12,3.12,3.5,4,3.25,3.12,0.75,3,0,3.75,"Level"
"808","Security and Fire Alarm Systems Installers",3,3.12,3,2.88,3.5,2.62,2,3.12,2.62,3,2.38,0.75,1,2,2.12,3.12,1.88,2.75,2.88,1.75,1.88,0.88,3.12,3.25,2.75,1.25,2.88,2.88,3,2.5,2.5,0.88,2.88,3.25,2.88,"Level"
"809","Security Guards",2.25,3,2.12,2.75,2.75,0,0,0,2.25,2.5,2.12,0,0,2.12,0.38,2.88,2.12,2,2.25,1,2.5,0.12,2,2.88,0.25,0.38,2.62,2.5,2.62,0.5,1.5,0,2.38,1.38,2.62,"Level"
